path, pred class, actual
test/1.jpg,air hockey,air hockey
test/2.jpg,air hockey,air hockey
test/3.jpg,air hockey,air hockey
test/4.jpg,air hockey,air hockey
test/5.jpg,uneven bars,air hockey
test/1.jpg,ampute football,ampute football
test/2.jpg,tug of war,ampute football
test/3.jpg,bull riding,ampute football
test/4.jpg,ampute football,ampute football
test/5.jpg,ampute football,ampute football
test/1.jpg,archery,archery
test/2.jpg,pole vault,archery
test/3.jpg,pole climbing,archery
test/4.jpg,bike polo,archery
test/5.jpg,air hockey,archery
test/1.jpg,shuffleboard,arm wrestling
test/2.jpg,arm wrestling,arm wrestling
test/3.jpg,arm wrestling,arm wrestling
test/4.jpg,arm wrestling,arm wrestling
test/5.jpg,shuffleboard,arm wrestling
test/1.jpg,archery,axe throwing
test/2.jpg,axe throwing,axe throwing
test/3.jpg,axe throwing,axe throwing
test/4.jpg,axe throwing,axe throwing
test/5.jpg,axe throwing,axe throwing
test/1.jpg,balance beam,balance beam
test/2.jpg,balance beam,balance beam
test/3.jpg,parallel bar,balance beam
test/4.jpg,balance beam,balance beam
test/5.jpg,balance beam,balance beam
test/1.jpg,barell racing,barell racing
test/2.jpg,barell racing,barell racing
test/3.jpg,weightlifting,barell racing
test/4.jpg,barell racing,barell racing
test/5.jpg,barell racing,barell racing
test/1.jpg,judo,baseball
test/2.jpg,baseball,baseball
test/3.jpg,baseball,baseball
test/4.jpg,baseball,baseball
test/5.jpg,baseball,baseball
test/1.jpg,pole climbing,basketball
test/2.jpg,sumo wrestling,basketball
test/3.jpg,basketball,basketball
test/4.jpg,basketball,basketball
test/5.jpg,basketball,basketball
test/1.jpg,tennis,baton twirling
test/2.jpg,baton twirling,baton twirling
test/3.jpg,pole dancing,baton twirling
test/4.jpg,jai alai,baton twirling
test/5.jpg,jai alai,baton twirling
test/1.jpg,bike polo,bike polo
test/2.jpg,bike polo,bike polo
test/3.jpg,bike polo,bike polo
test/4.jpg,bike polo,bike polo
test/5.jpg,wheelchair racing,bike polo
test/1.jpg,billiards,billiards
test/2.jpg,billiards,billiards
test/3.jpg,billiards,billiards
test/4.jpg,billiards,billiards
test/5.jpg,billiards,billiards
test/1.jpg,cricket,bmx
test/2.jpg,skydiving,bmx
test/3.jpg,bmx,bmx
test/4.jpg,track bicycle,bmx
test/5.jpg,skydiving,bmx
test/1.jpg,bobsled,bobsled
test/2.jpg,luge,bobsled
test/3.jpg,bobsled,bobsled
test/4.jpg,sidecar racing,bobsled
test/5.jpg,luge,bobsled
test/1.jpg,baton twirling,bowling
test/2.jpg,shuffleboard,bowling
test/3.jpg,baton twirling,bowling
test/4.jpg,bowling,bowling
test/5.jpg,bowling,bowling
test/1.jpg,boxing,boxing
test/2.jpg,boxing,boxing
test/3.jpg,boxing,boxing
test/4.jpg,boxing,boxing
test/5.jpg,boxing,boxing
test/1.jpg,bull riding,bull riding
test/2.jpg,bull riding,bull riding
test/3.jpg,bull riding,bull riding
test/4.jpg,bull riding,bull riding
test/5.jpg,bull riding,bull riding
test/1.jpg,bungee jumping,bungee jumping
test/2.jpg,wingsuit flying,bungee jumping
test/3.jpg,bungee jumping,bungee jumping
test/4.jpg,trapeze,bungee jumping
test/5.jpg,bungee jumping,bungee jumping
test/1.jpg,canoe slamon,canoe slamon
test/2.jpg,canoe slamon,canoe slamon
test/3.jpg,canoe slamon,canoe slamon
test/4.jpg,canoe slamon,canoe slamon
test/5.jpg,canoe slamon,canoe slamon
test/1.jpg,cheerleading,cheerleading
test/2.jpg,hurdles,cheerleading
test/3.jpg,cheerleading,cheerleading
test/4.jpg,cheerleading,cheerleading
test/5.jpg,basketball,cheerleading
test/1.jpg,chuckwagon racing,chuckwagon racing
test/2.jpg,chuckwagon racing,chuckwagon racing
test/3.jpg,chuckwagon racing,chuckwagon racing
test/4.jpg,chuckwagon racing,chuckwagon racing
test/5.jpg,bull riding,chuckwagon racing
test/1.jpg,cricket,cricket
test/2.jpg,football,cricket
test/3.jpg,harness racing,cricket
test/4.jpg,cricket,cricket
test/5.jpg,cricket,cricket
test/1.jpg,croquet,croquet
test/2.jpg,frisbee,croquet
test/3.jpg,croquet,croquet
test/4.jpg,golf,croquet
test/5.jpg,ampute football,croquet
test/1.jpg,curling,curling
test/2.jpg,curling,curling
test/3.jpg,curling,curling
test/4.jpg,curling,curling
test/5.jpg,curling,curling
test/1.jpg,disc golf,disc golf
test/2.jpg,disc golf,disc golf
test/3.jpg,disc golf,disc golf
test/4.jpg,disc golf,disc golf
test/5.jpg,disc golf,disc golf
test/1.jpg,table tennis,fencing
test/2.jpg,sumo wrestling,fencing
test/3.jpg,judo,fencing
test/4.jpg,fencing,fencing
test/5.jpg,bobsled,fencing
test/1.jpg,field hockey,field hockey
test/2.jpg,football,field hockey
test/3.jpg,field hockey,field hockey
test/4.jpg,field hockey,field hockey
test/5.jpg,field hockey,field hockey
test/1.jpg,figure skating men,figure skating men
test/2.jpg,figure skating men,figure skating men
test/3.jpg,figure skating pairs,figure skating men
test/4.jpg,figure skating men,figure skating men
test/5.jpg,figure skating men,figure skating men
test/1.jpg,figure skating women,figure skating pairs
test/2.jpg,figure skating pairs,figure skating pairs
test/3.jpg,judo,figure skating pairs
test/4.jpg,figure skating pairs,figure skating pairs
test/5.jpg,figure skating pairs,figure skating pairs
test/1.jpg,figure skating women,figure skating women
test/2.jpg,figure skating women,figure skating women
test/3.jpg,figure skating women,figure skating women
test/4.jpg,figure skating women,figure skating women
test/5.jpg,figure skating women,figure skating women
test/1.jpg,fly fishing,fly fishing
test/2.jpg,fly fishing,fly fishing
test/3.jpg,disc golf,fly fishing
test/4.jpg,fly fishing,fly fishing
test/5.jpg,croquet,fly fishing
test/1.jpg,football,football
test/2.jpg,rugby,football
test/3.jpg,lacrosse,football
test/4.jpg,football,football
test/5.jpg,football,football
test/1.jpg,formula 1 racing,formula 1 racing
test/2.jpg,formula 1 racing,formula 1 racing
test/3.jpg,formula 1 racing,formula 1 racing
test/4.jpg,formula 1 racing,formula 1 racing
test/5.jpg,formula 1 racing,formula 1 racing
test/1.jpg,rock climbing,frisbee
test/2.jpg,fly fishing,frisbee
test/3.jpg,jai alai,frisbee
test/4.jpg,pole vault,frisbee
test/5.jpg,ice yachting,frisbee
test/1.jpg,cricket,gaga
test/2.jpg,gaga,gaga
test/3.jpg,gaga,gaga
test/4.jpg,sidecar racing,gaga
test/5.jpg,tennis,gaga
test/1.jpg,giant slalom,giant slalom
test/2.jpg,giant slalom,giant slalom
test/3.jpg,giant slalom,giant slalom
test/4.jpg,giant slalom,giant slalom
test/5.jpg,giant slalom,giant slalom
test/1.jpg,bungee jumping,golf
test/2.jpg,golf,golf
test/3.jpg,golf,golf
test/4.jpg,archery,golf
test/5.jpg,golf,golf
test/1.jpg,hammer throw,hammer throw
test/2.jpg,hammer throw,hammer throw
test/3.jpg,hammer throw,hammer throw
test/4.jpg,hammer throw,hammer throw
test/5.jpg,hammer throw,hammer throw
test/1.jpg,skydiving,hang gliding
test/2.jpg,giant slalom,hang gliding
test/3.jpg,hang gliding,hang gliding
test/4.jpg,hang gliding,hang gliding
test/5.jpg,hang gliding,hang gliding
test/1.jpg,harness racing,harness racing
test/2.jpg,harness racing,harness racing
test/3.jpg,harness racing,harness racing
test/4.jpg,harness racing,harness racing
test/5.jpg,harness racing,harness racing
test/1.jpg,high jump,high jump
test/2.jpg,high jump,high jump
test/3.jpg,high jump,high jump
test/4.jpg,high jump,high jump
test/5.jpg,high jump,high jump
test/1.jpg,hockey,hockey
test/2.jpg,hockey,hockey
test/3.jpg,hockey,hockey
test/4.jpg,hockey,hockey
test/5.jpg,hockey,hockey
test/1.jpg,horse jumping,horse jumping
test/2.jpg,horse jumping,horse jumping
test/3.jpg,bull riding,horse jumping
test/4.jpg,parallel bar,horse jumping
test/5.jpg,horse jumping,horse jumping
test/1.jpg,horse racing,horse racing
test/2.jpg,horse racing,horse racing
test/3.jpg,horse racing,horse racing
test/4.jpg,horse racing,horse racing
test/5.jpg,horse racing,horse racing
test/1.jpg,barell racing,horseshoe pitching
test/2.jpg,pole climbing,horseshoe pitching
test/3.jpg,frisbee,horseshoe pitching
test/4.jpg,archery,horseshoe pitching
test/5.jpg,log rolling,horseshoe pitching
test/1.jpg,hurdles,hurdles
test/2.jpg,hurdles,hurdles
test/3.jpg,hurdles,hurdles
test/4.jpg,hurdles,hurdles
test/5.jpg,hurdles,hurdles
test/1.jpg,wingsuit flying,hydroplane racing
