path, pred class, actual
test/1.jpg,shot put,air hockey
test/2.jpg,air hockey,air hockey
test/3.jpg,rings,air hockey
test/4.jpg,air hockey,air hockey
test/5.jpg,hurdles,air hockey
test/1.jpg,horse jumping,ampute football
test/2.jpg,frisbee,ampute football
test/3.jpg,croquet,ampute football
test/4.jpg,football,ampute football
test/5.jpg,ampute football,ampute football
test/1.jpg,disc golf,archery
test/2.jpg,ice yachting,archery
test/3.jpg,giant slalom,archery
test/4.jpg,rollerblade racing,archery
test/5.jpg,hydroplane racing,archery
test/1.jpg,roller derby,arm wrestling
test/2.jpg,sumo wrestling,arm wrestling
test/3.jpg,bungee jumping,arm wrestling
test/4.jpg,jai alai,arm wrestling
test/5.jpg,golf,arm wrestling
test/1.jpg,hammer throw,axe throwing
test/2.jpg,nascar racing,axe throwing
test/3.jpg,axe throwing,axe throwing
test/4.jpg,sidecar racing,axe throwing
test/5.jpg,horse racing,axe throwing
test/1.jpg,sumo wrestling,balance beam
test/2.jpg,balance beam,balance beam
test/3.jpg,air hockey,balance beam
test/4.jpg,balance beam,balance beam
test/5.jpg,rings,balance beam
test/1.jpg,ampute football,barell racing
test/2.jpg,basketball,barell racing
test/3.jpg,basketball,barell racing
test/4.jpg,horse racing,barell racing
test/5.jpg,barell racing,barell racing
test/1.jpg,judo,baseball
test/2.jpg,baseball,baseball
test/3.jpg,football,baseball
test/4.jpg,horseshoe pitching,baseball
test/5.jpg,sumo wrestling,baseball
test/1.jpg,jai alai,basketball
test/2.jpg,basketball,basketball
test/3.jpg,shuffleboard,basketball
test/4.jpg,basketball,basketball
test/5.jpg,basketball,basketball
test/1.jpg,football,baton twirling
test/2.jpg,axe throwing,baton twirling
test/3.jpg,sailboat racing,baton twirling
test/4.jpg,jai alai,baton twirling
test/5.jpg,baseball,baton twirling
test/1.jpg,hurdles,bike polo
test/2.jpg,roller derby,bike polo
test/3.jpg,rock climbing,bike polo
test/4.jpg,sidecar racing,bike polo
test/5.jpg,nascar racing,bike polo
test/1.jpg,billiards,billiards
test/2.jpg,polo,billiards
test/3.jpg,ultimate,billiards
test/4.jpg,billiards,billiards
test/5.jpg,billiards,billiards
test/1.jpg,horse racing,bmx
test/2.jpg,water cycling,bmx
test/3.jpg,horse jumping,bmx
test/4.jpg,skydiving,bmx
test/5.jpg,rowing,bmx
test/1.jpg,hammer throw,bobsled
test/2.jpg,formula 1 racing,bobsled
test/3.jpg,snowmobile racing,bobsled
test/4.jpg,figure skating pairs,bobsled
test/5.jpg,snowmobile racing,bobsled
test/1.jpg,baseball,bowling
test/2.jpg,shuffleboard,bowling
test/3.jpg,basketball,bowling
test/4.jpg,baseball,bowling
test/5.jpg,football,bowling
test/1.jpg,boxing,boxing
test/2.jpg,boxing,boxing
test/3.jpg,boxing,boxing
test/4.jpg,pole dancing,boxing
test/5.jpg,boxing,boxing
test/1.jpg,baseball,bull riding
test/2.jpg,basketball,bull riding
test/3.jpg,baseball,bull riding
test/4.jpg,track bicycle,bull riding
test/5.jpg,lacrosse,bull riding
test/1.jpg,croquet,bungee jumping
test/2.jpg,ice climbing,bungee jumping
test/3.jpg,field hockey,bungee jumping
test/4.jpg,mushing,bungee jumping
test/5.jpg,cricket,bungee jumping
test/1.jpg,swimming,canoe slamon
test/2.jpg,rowing,canoe slamon
test/3.jpg,bmx,canoe slamon
test/4.jpg,skydiving,canoe slamon
test/5.jpg,giant slalom,canoe slamon
test/1.jpg,mushing,cheerleading
test/2.jpg,frisbee,cheerleading
test/3.jpg,weightlifting,cheerleading
test/4.jpg,chuckwagon racing,cheerleading
test/5.jpg,sumo wrestling,cheerleading
test/1.jpg,canoe slamon,chuckwagon racing
test/2.jpg,football,chuckwagon racing
test/3.jpg,horse racing,chuckwagon racing
test/4.jpg,track bicycle,chuckwagon racing
test/5.jpg,track bicycle,chuckwagon racing
test/1.jpg,croquet,cricket
test/2.jpg,lacrosse,cricket
test/3.jpg,cricket,cricket
test/4.jpg,baseball,cricket
test/5.jpg,cricket,cricket
test/1.jpg,croquet,croquet
test/2.jpg,croquet,croquet
test/3.jpg,croquet,croquet
test/4.jpg,croquet,croquet
test/5.jpg,croquet,croquet
test/1.jpg,mushing,curling
test/2.jpg,formula 1 racing,curling
test/3.jpg,curling,curling
test/4.jpg,figure skating women,curling
test/5.jpg,olympic wrestling,curling
test/1.jpg,croquet,disc golf
test/2.jpg,croquet,disc golf
test/3.jpg,croquet,disc golf
